127.0.0.1 - - [20/Nov/2016:17:48:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:48:43 +0530] "GET /onBoarding/ HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:48:43 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:48:43 +0530] "GET /onBoarding/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:48:48 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:48:48 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:48:57 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:48:57 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:05 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:05 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:13 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:13 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:33 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:33 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:42 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:49:42 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:53:41 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:53:41 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:54:00 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [20/Nov/2016:17:54:00 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
