127.0.0.1 - - [08/Jun/2016:20:43:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [08/Jun/2016:20:43:06 +0530] "GET /AMS_project/ HTTP/1.1" 200 4792
0:0:0:0:0:0:0:1 - - [08/Jun/2016:20:43:06 +0530] "GET /AMS_project/BackgroundImage.jpg HTTP/1.1" 200 170741
0:0:0:0:0:0:0:1 - - [08/Jun/2016:20:43:06 +0530] "GET /AMS_project/logout.jpg HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:24:49 +0530] "GET /onBoarding/ HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:24:49 +0530] "GET /onBoarding/images.png HTTP/1.1" 200 4285
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:24:49 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:28:02 +0530] "GET /onBoarding/signin.jsp HTTP/1.1" 200 1697
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:28:02 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:37:03 +0530] "GET /onBoarding/signUp.jsp HTTP/1.1" 200 3529
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:37:03 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:50:20 +0530] "GET /onBoarding/signUp.jsp HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:50:20 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:51:24 +0530] "POST /onBoarding/SignInController HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:51:24 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:51:33 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:52:34 +0530] "GET /onBoarding/signUp.jsp HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:52:34 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:52:34 +0530] "GET /onBoarding/images.png HTTP/1.1" 200 4285
0:0:0:0:0:0:0:1 - - [08/Jun/2016:21:52:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
