127.0.0.1 - - [11/Dec/2016:20:01:25 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:01:30 +0530] "GET /onBoarding/ HTTP/1.0" 200 1993
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:01:30 +0530] "GET /onBoarding/site.css HTTP/1.0" 404 1032
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:02:02 +0530] "GET /onBoarding HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:02:02 +0530] "GET /onBoarding/ HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:02:02 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:02:02 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:02:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:02:18 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 1733
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:02:18 +0530] "GET /onBoarding/YodleeFloater.jpg HTTP/1.1" 200 57361
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:17:28 +0530] "GET /onBoarding/ HTTP/1.0" 200 1993
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:17:28 +0530] "GET /onBoarding/site.css HTTP/1.0" 404 1032
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:17:35 +0530] "GET /onBoarding/ HTTP/1.1" 200 1993
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:17:35 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:17:41 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:46:13 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:46:15 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [11/Dec/2016:20:46:17 +0530] "GET /onBoarding/inchromefolder.zip HTTP/1.1" 200 24667096
192.168.0.104 - - [11/Dec/2016:20:48:37 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 1748
192.168.0.104 - - [11/Dec/2016:20:48:37 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
192.168.0.104 - - [11/Dec/2016:20:48:37 +0530] "GET /onBoarding/YodleeFloater.jpg HTTP/1.1" 200 57361
192.168.0.104 - - [11/Dec/2016:20:48:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.0.104 - - [11/Dec/2016:22:49:14 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 1748
192.168.0.104 - - [11/Dec/2016:22:49:17 +0530] "GET /onBoarding/inchromefolder.zip HTTP/1.1" 200 24667096
192.168.0.104 - - [11/Dec/2016:23:20:50 +0530] "GET /onBoarding/EndSiteWeb.jsp HTTP/1.1" 200 1993
192.168.0.104 - - [11/Dec/2016:23:20:51 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
192.168.0.104 - - [11/Dec/2016:23:20:53 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 1748
192.168.0.104 - - [11/Dec/2016:23:20:56 +0530] "GET /onBoarding/inchromefolder.zip HTTP/1.1" 200 24667096
192.168.0.104 - - [11/Dec/2016:23:22:04 +0530] "GET /onBoarding/EndSiteWeb.jsp HTTP/1.1" 200 1993
192.168.0.104 - - [11/Dec/2016:23:22:04 +0530] "GET /onBoarding/site.css HTTP/1.1" 404 1032
