127.0.0.1 - - [13/Dec/2016:16:27:27 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:27:31 +0530] "GET /onBoarding/ HTTP/1.0" 200 1993
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:27:31 +0530] "GET /onBoarding/site.css HTTP/1.0" 404 1032
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:27:35 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.0" 200 1748
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:27:47 +0530] "GET /onBoarding/inchromefolder.zip HTTP/1.0" 200 24667096
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:28:00 +0530] "GET /onBoarding/inchromefolder.zip HTTP/1.0" 200 24667096
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:31:30 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.0" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:32:03 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:32:03 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:32:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:43:55 +0530] "GET /onBoarding/testYodleeMoneyCenter.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:43:55 +0530] "GET /onBoarding/YodleeFloater.jpg HTTP/1.1" 200 57361
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:43:57 +0530] "GET /onBoarding/inchromefolder.zip HTTP/1.1" 200 24667096
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:45:18 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:45:18 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:45:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:52:06 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:52:06 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
0:0:0:0:0:0:0:1 - - [13/Dec/2016:16:52:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:42:26 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:42:26 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:42:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:47:25 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:47:25 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:47:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:48:32 +0530] "POST /onBoarding/CaptureHtmlSource HTTP/1.1" 500 2515
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:51:17 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:51:17 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
0:0:0:0:0:0:0:1 - - [13/Dec/2016:22:51:18 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [13/Dec/2016:23:10:05 +0530] "GET /onBoarding/startNsr.jsp HTTP/1.1" 200 2314
0:0:0:0:0:0:0:1 - - [13/Dec/2016:23:10:05 +0530] "GET /onBoarding/YodleeLogo.png HTTP/1.1" 200 75266
0:0:0:0:0:0:0:1 - - [13/Dec/2016:23:10:06 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
